"","ts","value","yr"
"208",2022-11-23 03:45:00,1068,"2022"
"209",2022-11-23 04:00:00,1068,"2022"
"210",2022-11-23 04:15:00,1068,"2022"
"211",2022-11-23 04:30:00,1068,"2022"
"212",2022-11-23 04:45:00,1068,"2022"
"213",2022-11-23 05:00:00,1068,"2022"
"214",2022-11-23 05:15:00,1068,"2022"
"215",2022-11-23 05:30:00,1068,"2022"
"216",2022-11-23 05:45:00,1068,"2022"
"217",2022-11-23 06:00:00,1068,"2022"
"218",2022-11-23 06:15:00,1068,"2022"
"219",2022-11-23 06:30:00,1068,"2022"
"220",2022-11-23 06:45:00,1068,"2022"
"221",2022-11-23 07:00:00,1068,"2022"
"222",2022-11-23 07:15:00,1068,"2022"
"223",2022-11-23 07:30:00,1068,"2022"
"224",2022-11-23 07:45:00,1068,"2022"
"225",2022-11-23 08:00:00,1068,"2022"
"226",2022-11-23 08:15:00,1068,"2022"
"227",2022-11-23 08:30:00,1068,"2022"
"228",2022-11-23 08:45:00,1068,"2022"
"229",2022-11-23 09:00:00,1068,"2022"
"230",2022-11-23 09:15:00,1068,"2022"
"231",2022-11-23 09:30:00,1068,"2022"
"232",2022-11-23 09:45:00,1068,"2022"
"233",2022-11-23 10:00:00,1068,"2022"
"234",2022-11-23 10:15:00,1068,"2022"
"235",2022-11-23 10:30:00,1068,"2022"
"236",2022-11-23 10:45:00,1068,"2022"
"237",2022-11-23 11:00:00,1068,"2022"
"238",2022-11-23 11:15:00,1068,"2022"
"239",2022-11-23 11:30:00,1068,"2022"
"240",2022-11-23 11:45:00,1068,"2022"
"241",2022-11-23 12:00:00,1068,"2022"
"242",2022-11-23 12:15:00,1068,"2022"
"243",2022-11-23 12:30:00,1068,"2022"
"244",2022-11-23 12:45:00,1068,"2022"
"245",2022-11-23 13:00:00,1068,"2022"
"246",2022-11-23 13:15:00,1068,"2022"
"247",2022-11-23 13:30:00,1068,"2022"
"248",2022-11-23 13:45:00,1068,"2022"
"249",2022-11-23 14:00:00,1068,"2022"
"250",2022-11-23 14:15:00,1068,"2022"
"251",2022-11-23 14:30:00,1068,"2022"
"252",2022-11-23 14:45:00,1068,"2022"
"253",2022-11-23 15:00:00,1068,"2022"
"254",2022-11-23 15:15:00,1068,"2022"
"255",2022-11-23 15:30:00,1068,"2022"
"256",2022-11-23 15:45:00,1068,"2022"
"257",2022-11-23 16:00:00,1068,"2022"
"258",2022-11-23 16:15:00,1068,"2022"
"259",2022-11-23 16:30:00,1068,"2022"
"260",2022-11-23 16:45:00,1068,"2022"
"261",2022-11-23 17:00:00,1068,"2022"
"262",2022-11-23 17:15:00,1068,"2022"
"263",2022-11-23 17:30:00,1068,"2022"
"264",2022-11-23 17:45:00,1068,"2022"
"265",2022-11-23 18:00:00,1068,"2022"
"266",2022-11-23 18:15:00,1068,"2022"
"267",2022-11-23 18:30:00,1068,"2022"
"268",2022-11-23 18:45:00,1068,"2022"
"269",2022-11-23 19:00:00,1068,"2022"
"270",2022-11-23 19:15:00,1068,"2022"
"271",2022-11-23 19:30:00,1068,"2022"
"272",2022-11-23 19:45:00,1068,"2022"
"273",2022-11-23 20:00:00,1068,"2022"
"274",2022-11-23 20:15:00,1068,"2022"
"275",2022-11-23 20:30:00,1068,"2022"
"276",2022-11-23 20:45:00,1068,"2022"
"277",2022-11-23 21:00:00,1067,"2022"
"278",2022-11-23 21:15:00,1067,"2022"
"279",2022-11-23 21:30:00,1067,"2022"
"280",2022-11-23 21:45:00,1067,"2022"
"281",2022-11-23 22:00:00,1067,"2022"
"282",2022-11-23 22:15:00,1067,"2022"
"283",2022-11-23 22:30:00,1067,"2022"
"284",2022-11-23 22:45:00,1067,"2022"
"285",2022-11-23 23:00:00,1067,"2022"
"286",2022-11-23 23:15:00,1067,"2022"
"287",2022-11-23 23:30:00,1067,"2022"
"288",2022-11-23 23:45:00,1067,"2022"
"289",2022-11-24,1067,"2022"
"290",2022-11-24 00:15:00,1067,"2022"
"291",2022-11-24 00:30:00,1067,"2022"
"292",2022-11-24 00:45:00,1067,"2022"
"293",2022-11-24 01:00:00,1067,"2022"
"294",2022-11-24 01:15:00,1067,"2022"
"295",2022-11-24 01:30:00,1067,"2022"
"296",2022-11-24 01:45:00,1067,"2022"
"297",2022-11-24 02:00:00,1067,"2022"
"298",2022-11-24 02:15:00,1067,"2022"
"299",2022-11-24 02:30:00,1067,"2022"
"300",2022-11-24 02:45:00,1067,"2022"
"301",2022-11-24 03:00:00,1067,"2022"
"302",2022-11-24 03:15:00,1067,"2022"
"303",2022-11-24 03:30:00,1067,"2022"
"304",2022-11-24 03:45:00,1067,"2022"
"305",2022-11-24 04:00:00,1067,"2022"
"306",2022-11-24 04:15:00,1067,"2022"
"307",2022-11-24 04:30:00,1067,"2022"
"308",2022-11-24 04:45:00,1067,"2022"
"309",2022-11-24 05:00:00,1067,"2022"
"310",2022-11-24 05:15:00,1067,"2022"
"311",2022-11-24 05:30:00,1067,"2022"
"312",2022-11-24 05:45:00,1067,"2022"
"313",2022-11-24 06:00:00,1067,"2022"
"314",2022-11-24 06:15:00,1067,"2022"
"315",2022-11-24 06:30:00,1067,"2022"
"316",2022-11-24 06:45:00,1067,"2022"
"317",2022-11-24 07:00:00,1067,"2022"
"318",2022-11-24 07:15:00,1067,"2022"
"319",2022-11-24 07:30:00,1067,"2022"
"320",2022-11-24 07:45:00,1067,"2022"
"321",2022-11-24 08:00:00,1067,"2022"
"322",2022-11-24 08:15:00,1067,"2022"
"323",2022-11-24 08:30:00,1067,"2022"
"324",2022-11-24 08:45:00,1067,"2022"
"325",2022-11-24 09:00:00,1067,"2022"
"326",2022-11-24 09:15:00,1067,"2022"
"327",2022-11-24 09:30:00,1067,"2022"
"328",2022-11-24 09:45:00,1067,"2022"
"329",2022-11-24 10:00:00,1067,"2022"
"330",2022-11-24 10:15:00,1067,"2022"
"331",2022-11-24 10:30:00,1067,"2022"
"332",2022-11-24 10:45:00,1067,"2022"
"333",2022-11-24 11:00:00,1067,"2022"
"334",2022-11-24 11:15:00,1067,"2022"
"335",2022-11-24 11:30:00,1067,"2022"
"336",2022-11-24 11:45:00,1067,"2022"
"337",2022-11-24 12:00:00,1067,"2022"
"338",2022-11-24 12:15:00,1067,"2022"
"339",2022-11-24 12:30:00,1067,"2022"
"340",2022-11-24 12:45:00,1067,"2022"
"341",2022-11-24 13:00:00,1067,"2022"
"342",2022-11-24 13:15:00,1067,"2022"
"343",2022-11-24 13:30:00,1067,"2022"
"344",2022-11-24 13:45:00,1067,"2022"
"345",2022-11-24 14:00:00,1067,"2022"
"346",2022-11-24 14:15:00,1067,"2022"
"347",2022-11-24 14:30:00,1068,"2022"
"348",2022-11-24 14:45:00,1068,"2022"
"349",2022-11-24 15:00:00,1067,"2022"
"350",2022-11-24 15:15:00,1067,"2022"
"351",2022-11-24 15:30:00,1067,"2022"
"352",2022-11-24 15:45:00,1067,"2022"
"353",2022-11-24 16:00:00,1067,"2022"
"354",2022-11-24 16:15:00,1067,"2022"
"355",2022-11-24 16:30:00,1067,"2022"
"356",2022-11-24 16:45:00,1067,"2022"
"357",2022-11-24 17:00:00,1067,"2022"
"358",2022-11-24 17:15:00,1067,"2022"
"359",2022-11-24 17:30:00,1067,"2022"
"360",2022-11-24 17:45:00,1067,"2022"
"361",2022-11-24 18:00:00,1067,"2022"
"362",2022-11-24 18:15:00,1067,"2022"
"363",2022-11-24 18:30:00,1067,"2022"
"364",2022-11-24 18:45:00,1067,"2022"
"365",2022-11-24 19:00:00,1067,"2022"
"366",2022-11-24 19:15:00,1067,"2022"
"367",2022-11-24 19:30:00,1066,"2022"
"368",2022-11-24 19:45:00,1066,"2022"
"369",2022-11-24 20:00:00,1066,"2022"
"370",2022-11-24 20:15:00,1066,"2022"
"371",2022-11-24 20:30:00,1066,"2022"
"372",2022-11-24 20:45:00,1066,"2022"
