"","year","wood_type","311_","309_","310_","646_","648_","648_B2E","648_B2L","652_","655_","654_","860_","656_"
"74",1962,"earlywood",0,0.240751280591918,0.452067242162653,0.0516480965645311,0.146817895400126,NA,NA,0.808542713567839,NA,NA,NA,NA
"75",1962,"latewood",0.0111712931618145,0.307447774750227,0.562631800927879,0.0915898617511521,0.400210084033613,NA,NA,0.661679700782047,NA,NA,NA,NA
"76",1962,NA,NA,NA,NA,NA,NA,0.0688976377952756,0.765277777777778,NA,NA,NA,NA,NA
"77",1963,"earlywood",0.0236118797269876,0.325554923164485,0.606088141753748,0.0934308263695451,0.266540642722117,NA,NA,0.79748743718593,NA,NA,NA,NA
"78",1963,"latewood",0.010832769126608,0.548138056312443,0.553774778574441,0.451324884792627,0.510504201680672,NA,NA,0.971438286297178,NA,NA,NA,NA
"79",1963,NA,NA,NA,NA,NA,NA,0.389107611548556,0.823611111111111,NA,NA,NA,NA,NA
"80",1964,"earlywood",0.0158642316915698,0.590779738190097,0.567469332121763,0.174326833797586,0.67989918084436,NA,NA,0.681407035175879,NA,NA,NA,NA
"81",1964,"latewood",0.0110020311442112,0.33605812897366,0.410797132011809,0.414746543778802,0.444327731092437,NA,NA,1,NA,NA,NA,NA
"82",1964,NA,NA,NA,NA,NA,NA,0.583333333333333,0.647222222222222,NA,NA,NA,NA,NA
"83",1965,"earlywood",0.038553772366722,0.759248719408082,0.375283961835529,0.601787372330548,0.480151228733459,NA,NA,0.617085427135678,NA,NA,NA,NA
"84",1965,"latewood",0.0116790792146242,0.797910990009083,0.348376212568537,0.402649769585254,0.488445378151261,NA,NA,0.34478068684121,NA,NA,NA,NA
"85",1965,NA,NA,NA,NA,NA,NA,0.5,0.676388888888889,NA,NA,NA,NA,NA
"86",1966,"earlywood",0.0313595277624055,0.626636311895276,0.21172194457065,0.225974930362117,0.16005040957782,NA,NA,0.414572864321608,NA,NA,NA,NA
"87",1966,"latewood",0.00727826675693974,0.403723887375113,0.134120624209194,0.664746543778802,0.444327731092437,NA,NA,0.122067324039442,NA,NA,NA,NA
"88",1966,NA,NA,NA,NA,NA,NA,0.180446194225722,0.672222222222222,NA,NA,NA,NA,NA
"89",1967,"earlywood",0.0665928795425198,0.819009675583381,0.25988187187642,0.366063138347261,0.360428481411468,NA,NA,0.574874371859296,NA,NA,NA,NA
"90",1967,"latewood",0.0037237643872715,0.287920072661217,0.250105440742303,0.42684331797235,0.422268907563025,NA,NA,0.0425025501530092,NA,NA,NA,NA
"91",1967,NA,NA,NA,NA,NA,NA,0.430446194225722,0.411111111111111,NA,NA,NA,NA,NA
"92",1968,"earlywood",0.0352333517801144,0.421741605008537,0.16356201726488,0.206244196843083,0.16005040957782,NA,NA,0.691457286432161,0.523619095226194,NA,NA,NA
"93",1968,"latewood",0,0.10535876475931,0.267819485449178,0.35397465437788,0.332983193277311,NA,NA,0.186671200272016,0.219229175300456,NA,NA,NA
"94",1968,NA,NA,NA,NA,NA,NA,0.152887139107612,0.411111111111111,NA,NA,NA,NA,NA
"95",1969,"earlywood",0.0354178195904815,0.590779738190097,0.249886415265788,0.144846796657382,0.346565847511027,NA,NA,0.680402010050251,0.581854536365909,NA,NA,NA
"96",1969,"latewood",0.0179417738659445,0.259309718437784,0.241248418388865,0.969470046082949,0.577731092436975,NA,NA,0.661679700782047,0.227932034811438,NA,NA,NA
"97",1969,NA,NA,NA,NA,NA,NA,0.374671916010499,0.647222222222222,NA,NA,NA,NA,NA
"98",1970,"earlywood",0.0590296993174691,0.566875355719977,0.288505224897774,0.230849582172702,0.360428481411468,NA,NA,0.489447236180905,0.978755311172207,NA,NA,NA
"99",1970,"latewood",0.021665538253216,0.240236148955495,0.142977646562632,0.481854838709677,0.422268907563025,NA,NA,0.971098265895954,0.359718193120597,NA,NA,NA
"100",1970,NA,NA,NA,NA,NA,NA,0.27755905511811,0.705555555555556,NA,NA,NA,NA,NA
"101",1971,"earlywood",0.0861464674414315,0.638019351166761,0.25988187187642,0.380687093779016,0.613736609955892,NA,NA,0.638190954773869,1,0.960910538890364,NA,NA
"102",1971,"latewood",0.0287745429925525,0.35558583106267,0.214255588359342,0.286578341013825,0.466386554621849,NA,NA,0.956817409044543,0.530667219229175,0.638786565547129,NA,NA
"103",1971,NA,NA,NA,NA,NA,NA,0.388451443569554,0.647222222222222,NA,NA,NA,NA,NA
"104",1972,"earlywood",0.062903523335178,0.820147979510529,0.365288505224898,0.164577530176416,0.439823566477631,NA,NA,0.595979899497488,0.796300924768808,0.553026280860101,NA,NA
"105",1972,"latewood",0.0323290453622207,0.633969118982743,0.357233234921974,0.384216589861751,1,NA,NA,0.568174090445427,0.579776212184003,0.436403033586132,NA,NA
"106",1972,NA,NA,NA,NA,NA,NA,0.513779527559055,0.676388888888889,NA,NA,NA,NA,NA
"107",1973,"earlywood",0.058845231507102,0.675014228799089,0.327124034529759,0.171889507892293,0.439823566477631,NA,NA,0.531658291457286,0.637465633591602,0.631868861162729,NA,NA
"108",1973,"latewood",0.0252200406228842,0.365122615803815,0.196541543652467,0.292914746543779,0.599789915966387,NA,NA,0.150969058143489,0.890385412349772,0.57421451787649,NA,NA
"109",1973,NA,NA,NA,NA,NA,NA,0.389107611548556,0.881944444444445,NA,NA,NA,NA,NA
"110",1974,"earlywood",0.0743405275779376,0.735344336937963,0.278964107223989,0.21866295264624,0.253308128544423,NA,NA,0.616582914572864,0.642839290177456,1,NA,NA
"111",1974,"latewood",0.0682125930941097,0.230245231607629,0.169548713622944,0.262384792626728,0.355042016806723,NA,NA,0.0282216933015981,0.670949026108579,0.851570964247021,NA,NA
"112",1974,NA,NA,NA,NA,NA,NA,0.25,0.734722222222222,NA,NA,NA,NA,NA
"113",1975,"earlywood",0.0898358236487733,0.940808195788275,0.452067242162653,0.311977715877437,0.346565847511027,NA,NA,0.531658291457286,0.724818795301175,0.879877886912662,0.785421785421785,NA
"114",1975,"latewood",0.0646580907244414,0.614441416893733,0.51792492619148,0.719470046082949,0.533613445378151,NA,NA,0.0788847330839851,0.5,0.4136511375948,0.992398427260813,NA
"115",1975,NA,NA,NA,NA,NA,NA,0.291338582677165,0.852777777777778,NA,NA,NA,NA,NA
"116",1976,"earlywood",0.101826231322634,0.723392145702903,0.518855065879146,0.248142989786444,0.213610586011342,NA,NA,0.372361809045226,0.663959010247438,0.718940801698965,0.813267813267813,NA
"117",1976,"latewood",0.175693974272173,0.403269754768392,0.625474483340363,0.646601382488479,0.377100840336134,NA,NA,0.503230193811629,0.37277248238707,0.467172264355363,0.115858453473132,NA
"118",1976,NA,NA,NA,NA,NA,NA,0.110892388451444,0,NA,NA,NA,NA,NA
"119",1977,"earlywood",0.128942999446597,0.518497438816164,0.384825079509314,0.243152274837512,0.373660995589162,NA,NA,0.415075376884422,0.544988752811797,0.470400849482347,0.424406224406224,NA
"120",1977,"latewood",0.0790453622207177,0.239782016348774,0.383804301982286,0.286578341013825,0.444327731092437,NA,NA,0.431485889153349,0.386033982594281,0.368147345612134,0.160419397116645,NA
"121",1977,NA,NA,NA,NA,NA,NA,0.305118110236221,0.736111111111111,NA,NA,NA,NA,NA
"122",1978,"earlywood",0.0940785832872164,0.385315879339784,0.452067242162653,0.140088207985144,0.640201638311279,NA,NA,0.765829145728643,0.259185203699075,0.314640297318821,0.340868140868141,1
"123",1978,"latewood",0.0573798239675017,0.528156221616712,0.625052720371152,0.366071428571429,0.488445378151261,NA,NA,0.611696701802108,0.447368421052632,0.748429035752979,0.326605504587156,1
"124",1978,NA,NA,NA,NA,NA,NA,0.597112860892389,0.736111111111111,NA,NA,NA,NA,NA
"125",1979,"earlywood",0.0743405275779376,0.337507114399545,0.442980463425716,0.100626740947075,0.493383742911153,NA,NA,0.851256281407035,0.314671332166958,0.265396867533847,0.459459459459459,0.547909664484934
"126",1979,"latewood",0.0646580907244414,0.278837420526794,0.161113454238718,0.231854838709677,0.510504201680672,NA,NA,0.345120707242435,0.166804807293825,0.592199349945829,0.870773263433814,0.489356858281161
"127",1979,NA,NA,NA,NA,NA,NA,0.374671916010499,0.763888888888889,NA,NA,NA,NA,NA
