"","year","wood_type","311_","309_","310_","646_","648_","648_B2E","648_B2L","652_","655_","654_","860_","656_"
"131",1981,"earlywood",0.4765,0.975,0.974,1.9895,1.461,NA,NA,1.355,1.3865,3.7575,3.324,6.024
"132",1981,"latewood",0.3385,0.8365,0.963,1.0055,0.296,NA,NA,1.037,1.2595,1.7675,2.1695,3.071
"133",1981,NA,NA,NA,NA,NA,NA,1.418,0.487,NA,NA,NA,NA,NA
"134",1982,"earlywood",0.4445,0.9005,0.8465,1.1535,0.72,NA,NA,1.1435,1.4815,3.8105,2.739,6.4695
"135",1982,"latewood",0.3285,0.709,0.995,0.7195,0.423,NA,NA,0.8145,1.99,2.4555,1.9205,2.922
"136",1982,NA,NA,NA,NA,NA,NA,0.699,0.508,NA,NA,NA,NA,NA
"137",1983,"earlywood",0.4125,1.0165,0.847,1.0795,0.762,NA,NA,1.0055,1.736,2.678,2.0585,4.0135
"138",1983,"latewood",0.3285,1.292,1.397,1.958,0.508,NA,NA,0.5505,2.011,2.7415,2.505,2.986
"139",1983,NA,NA,NA,NA,NA,NA,0.826,0.423,NA,NA,NA,NA,NA
"140",1984,"earlywood",0.444,1.059,0.8995,1.2275,0.635,NA,NA,1.1325,1.7145,2.9955,2.207,4.15
"141",1984,"latewood",0.4445,0.7515,0.9415,0.794,0.275,NA,NA,1.048,1.228,1.8945,1.4855,2.1605
"142",1984,NA,NA,NA,NA,NA,NA,0.826,0.233,NA,NA,NA,NA,NA
"143",1985,"earlywood",0.5925,0.964,0.741,0.9735,0.487,NA,NA,1.2175,1.397,2.4025,2.058,3.6525
"144",1985,"latewood",0.339,0.466,0.4445,0.751,0.275,NA,NA,0.752,1.0795,1.45,1.475,1.472
"145",1985,NA,NA,NA,NA,NA,NA,0.614,0.254,NA,NA,NA,NA,NA
"146",1986,"earlywood",0.4975,0.9315,0.582,0.8255,0.741,NA,NA,1.2385,1.164,2.2655,1.039,2.0545
"147",1986,"latewood",0.466,0.751,0.54,0.6035,0.487,NA,NA,0.889,1.238,1.5345,1.4745,1.44
"148",1986,NA,NA,NA,NA,NA,NA,0.72,0.423,NA,NA,NA,NA,NA
"149",1987,"earlywood",0.5715,0.6775,0.7515,0.731,0.572,NA,NA,1.1755,1.1115,1.704,0.9105,2.245
"150",1987,"latewood",0.5825,0.7305,0.466,0.317,0.381,NA,NA,0.995,1.408,1.916,1.5815,2.329
"151",1987,NA,NA,NA,NA,NA,NA,0.487,0.317,NA,NA,NA,NA,NA
"152",1988,"earlywood",0.6775,0.8785,0.6245,1.036,0.699,NA,NA,1.0055,0.942,2.117,2.428,3.399
"153",1988,"latewood",0.4865,0.5295,0.497,0.709,0.381,NA,NA,0.5085,1.3125,1.7465,2.6175,2.033
"154",1988,NA,NA,NA,NA,NA,NA,0.635,0.36,NA,NA,NA,NA,NA
"155",1989,"earlywood",0.7305,0.826,0.413,1.175,0.805,NA,NA,0.815,1.3545,1.9475,1.5565,2.181
"156",1989,"latewood",1.281,0.889,0.3815,1.238,0.444,NA,NA,0.3175,1.5665,2.371,1.8325,2.276
"157",1989,NA,NA,NA,NA,NA,NA,0.55,0.656,NA,NA,NA,NA,NA
"158",1990,"earlywood",1.048,0.8795,0.741,2.35,0.868,NA,NA,0.7725,1.1645,2.3285,1.864,2.393
"159",1990,"latewood",0.995,0.8465,1.1325,0.921,0.423,NA,NA,0.4025,1.2385,2.096,1.3025,1.5885
"160",1990,NA,NA,NA,NA,NA,NA,0.783,0.466,NA,NA,NA,NA,NA
"161",1991,"earlywood",0.921,0.4975,0.508,1.852,0.889,NA,NA,0.762,1.217,1.344,1.1115,2.4745
"162",1991,"latewood",1.524,0.382,0.8365,1.1005,0.55,NA,NA,0.53,1.386,1.3445,1.366,1.495
"163",1991,NA,NA,NA,NA,NA,NA,0.826,0.55,NA,NA,NA,NA,NA
"164",1992,"earlywood",1.3555,0.6145,0.508,1.7465,0.931,NA,NA,0.741,0.688,1.768,1.4295,2.022
"165",1992,"latewood",1.723,0.6355,0.6035,1.228,0.55,NA,NA,0.4335,1.016,1.175,1.7895,1.715
"166",1992,NA,NA,NA,NA,NA,NA,0.762,0.572,NA,NA,NA,NA,NA
"167",1993,"earlywood",1.0165,0.445,0.5615,0.762,0.529,NA,NA,0.7515,0.656,0.9735,0.731,1.0905
"168",1993,"latewood",1.228,0.381,0.402,0.942,0.656,NA,NA,0.4555,0.9,1.016,1.186,1.069
"169",1993,NA,NA,NA,NA,NA,NA,0.529,0.656,NA,NA,NA,NA,NA
"170",1994,"earlywood",0.868,0.773,0.635,1.037,0.91,NA,NA,0.7835,0.688,1.7145,1.196,1.969
"171",1994,"latewood",0.7935,0.3495,0.4445,0.7095,0.402,NA,NA,0.4765,1.069,1.122,1.3125,1.2705
"172",1994,NA,NA,NA,NA,NA,NA,0.762,0.318,NA,NA,NA,NA,NA
"173",1995,"earlywood",0.8785,0.7195,0.677,1.7145,0.974,NA,NA,0.8045,0.561,1.355,0.9105,1.5345
"174",1995,"latewood",1.2815,0.266,0.5825,0.868,0.529,NA,NA,0.741,1.0475,1.09,1.2915,1.1965
"175",1995,NA,NA,NA,NA,NA,NA,0.847,0.593,NA,NA,NA,NA,NA
"176",1996,"earlywood",1.09,1.0165,0.921,2.4135,0.931,NA,NA,0.7305,0.6035,2.0535,0.8895,1.6305
"177",1996,"latewood",1.9265,0.6245,0.942,0.9845,0.656,NA,NA,0.9205,0.8995,1.4075,1.0165,0.963
"178",1996,NA,NA,NA,NA,NA,NA,0.889,0.741,NA,NA,NA,NA,NA
"179",1997,"earlywood",1.376,1.0805,1.0265,4.6045,1.82,NA,NA,0.667,0.7305,1.6515,0.8255,1.3865
"180",1997,"latewood",2.541,0.932,1.3335,0.6775,0.487,NA,NA,1.2595,0.857,1.3125,1.207,1.196
"181",1997,NA,NA,NA,NA,NA,NA,1.461,0.551,NA,NA,NA,NA,NA
"182",1998,"earlywood",1.408,1.0905,1.365,4.1065,1.673,NA,NA,0.73,0.561,1.577,0.5935,1.725
"183",1998,"latewood",2.022,0.9425,0.9105,0.7725,0.402,NA,NA,0.7515,0.9735,0.847,1.2595,1.207
"184",1998,NA,NA,NA,NA,NA,NA,1.291,0.466,NA,NA,NA,NA,NA
"185",1999,"earlywood",1.2065,0.6985,0.794,1.81,1.312,NA,NA,0.6245,0.677,1.112,0.403,1.355
"186",1999,"latewood",1.0905,0.657,0.846,1.8205,0.741,NA,NA,0.656,1.2175,0.8675,1.0165,1.08
"187",1999,NA,NA,NA,NA,NA,NA,1.228,0.72,NA,NA,NA,NA,NA
"188",2000,"earlywood",1.366,0.7515,0.8465,2,0.995,NA,NA,0.582,0.7515,1.2065,0.2715,1.567
"189",2000,"latewood",1.609,0.6565,0.8045,1.1005,0.698,NA,NA,0.508,1.0585,0.815,0.93,1.133
"190",2000,NA,NA,NA,NA,NA,NA,0.931,0.572,NA,NA,NA,NA,NA
"191",2001,"earlywood",1.366,0.794,0.7835,2.942,1.122,NA,NA,0.667,0.8045,1.3125,0.9425,1.3125
